Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Region,City,State,Postal Code,Product ID,Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,South,Henderson,Kentucky,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,261.96,2,0,41.91
2,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,South,Henderson,Kentucky,42420,FUR-CH-10000454,Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back,Furniture,Chairs,731.94,3,0,219.58
3,CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,West,Los Angeles,California,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,14.62,2,0,6.87
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,South,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,957.58,5,0.45,-383.03
5,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,South,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,22.37,2,0.2,2.52
6,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,West,Los Angeles,California,90032,FUR-FU-10001487,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood,Furniture,Furnishings,48.86,7,0,14.17
7,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,West,Los Angeles,California,90032,OFF-AR-10002833,Newell 322,Office Supplies,Art,7.28,4,0,1.97
8,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,West,Los Angeles,California,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,907.15,6,0.2,90.72
9,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,West,Los Angeles,California,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,18.5,3,0.2,5.78
10,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,West,Los Angeles,California,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,114.9,5,0,34.47
11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,West,Los Angeles,California,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,1706.18,9,0.2,85.31
12,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,West,Los Angeles,California,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,911.42,4,0.2,68.36
